Customer_ID,snapshot_date,Age_imputed,Age_missing,debt_to_income,loan_to_income,inquiry_per_year,has_loans,has_overdue,high_utilization,session_sum,fe_1,fe_2,fe_3,fe_4,fe_5,fe_6,fe_7,fe_8,fe_9,fe_10,fe_11,fe_12,fe_13,fe_14,fe_15,fe_16,fe_17,fe_18,fe_19,fe_20,no_clicks,month,week_of_year,days_since_first_loan,hist_bucket,Type_of_Loan_clean,Credit_Mix,Payment_of_Min_Amount,Payment_Behaviour
CUS_0x1000,2023-05-01,18.0,0,0.05103222954136099,0.32652059006187806,1.0232558138583017,1,0,0,915,58,15,18,-101,48,-33,238,119,75,52,39,131,-34,145,-61,39,52,80,4,31,0,5,18,0,<=25th,Multiple,Bad,Yes,High_spent_Medium_value_payments
CUS_0x1009,2025-01-01,26.0,0,2.0268E11,1.0E13,0.1290322580603538,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,>75th,Multiple,unknown,Yes,High_spent_Medium_value_payments
CUS_0x100b,2024-03-01,19.0,0,0.009054204734183604,0.08788783473290239,0.25263157893141275,1,0,0,1704,210,129,107,118,-51,67,40,88,189,123,125,2,60,242,177,29,-94,-38,380,-199,0,3,9,0,25-50th,Unknown,Good,No,High_spent_Small_value_payments
CUS_0x1011,2023-11-01,44.0,0,0.008030418984063774,0.16972606383023575,0.4421052631299723,1,0,0,2847,142,229,121,29,278,145,309,-52,139,94,59,97,49,99,50,173,280,138,381,87,0,11,44,0,25-50th,Multiple,Standard,Yes,Low_spent_Medium_value_payments
CUS_0x1013,2023-12-01,44.0,0,0.01250758205809745,0.10139830287632406,0.16822429905598743,1,0,0,1862,61,28,237,31,2,264,110,-19,116,207,120,-6,121,28,-62,189,85,69,103,178,0,12,48,0,25-50th,Multiple,Good,No,High_spent_Medium_value_payments
CUS_0x1015,2023-08-01,27.0,0,0.007246274947807158,0.21298791804735634,0.42023346301539766,1,0,0,2326,-32,203,-32,185,163,222,172,95,142,131,257,-35,164,-47,237,145,158,156,36,6,0,8,31,0,50-75th,Unknown,Standard,NM,Low_spent_Small_value_payments
CUS_0x1018,2023-11-01,15.0,0,0.0453157710596692,0.16341255083559925,0.5614035087325331,1,0,0,2596,-16,214,212,181,131,174,-1,249,250,125,90,119,-66,134,169,19,230,227,138,17,0,11,44,0,25-50th,Multiple,Bad,Yes,High_spent_Medium_value_payments
CUS_0x1026,2023-10-01,52.0,0,0.004980181025878931,0.05861174105707882,0.1451612903155567,1,0,0,2063,102,-25,-46,144,-59,312,102,194,116,76,30,277,75,-14,196,259,181,78,-10,75,0,10,39,0,50-75th,Multiple,Good,No,High_spent_Medium_value_payments
CUS_0x102d,2024-01-01,31.0,0,0.007279666471003186,0.11227815520703291,0.0991735537157298,1,0,0,1364,271,66,2,226,30,86,86,-5,-22,-16,136,180,-18,162,209,-104,-54,72,104,-47,0,1,1,0,>75th,Mortgage Loan,unknown,No,High_spent_Medium_value_payments
CUS_0x102e,2024-04-01,26.0,0,0.017115406719960362,0.19682156786486002,0.1751824817441526,1,0,0,2210,45,27,-42,176,137,169,165,164,110,61,133,191,90,131,52,28,19,129,266,159,0,4,14,0,50-75th,Multiple,unknown,NM,High_spent_Medium_value_payments
CUS_0x1032,2023-08-01,32.0,1,0.030670934767774997,0.16553293161801214,0.553846153812071,1,0,0,3009,53,128,21,144,85,266,-41,101,329,201,185,219,240,67,383,131,140,193,166,-2,0,8,31,0,25-50th,Multiple,Standard,Yes,!@9#%8
CUS_0x1037,2023-01-01,45.0,0,0.04164215775949395,0.6254266582483847,0.15189873416952412,1,0,1,1118,63,118,80,121,55,193,111,112,-101,83,164,105,-16,-81,-126,114,35,85,-73,76,0,1,52,0,50-75th,Multiple,Good,No,Low_spent_Small_value_payments
CUS_0x1038,2024-10-01,28.0,0,0.004388631589744126,0.07723608506967716,0.499999999975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,40,0,50-75th,Multiple,Standard,Yes,Low_spent_Medium_value_payments
